;;;;;;;;;;;;;;;;;;
Fecha;Hora;Ronda;Día;Sedes;Resultado;GF;GC;Adversario;xG;xGA;Pos.;Asistencia;Capitán;Formación;Formación del oponente;Árbitro;Informe del partido;Notas
14/08/2023;19:30;Semana 1 de partido;Lun;Local;V;1;0;Alavés;0.7;0.3;45;19,306;Fali;04/04/2002;05/04/2001;Isidro Díaz de Mera;Informe del partido;
20/08/2023;19:30;Semana 2 de partido;Dom;Visitante;D;0;2;Barcelona;1.1;3.4;26;39,603;Álex Fernández;04/04/2002;03/04/2003;Alejandro Muñíz;Informe del partido;
26/08/2023;19:00;Semana 3 de partido;Sáb;Local;E;1;1;Almería;1.6;0.3;52;18,653;Isaac Carcelen;04/04/2002;4-2-3-1;Víctor García;Informe del partido;
01/09/2023;19:30;Semana 4 de partido;Vie;Local;V;3;1;Villarreal;2.1;0.3;43;18,557;Isaac Carcelen;04/04/2002;04/03/2003;Juan Pulido;Informe del partido;
16/09/2023;14:00;Semana 5 de partido;Sáb;Visitante;D;0;3;Athletic Club;0.3;2.9;35;42,881;Isaac Carcelen;04/04/2002;4-2-3-1;Guillermo Cuadra;Informe del partido;
24/09/2023;18:30;Semana 6 de partido;Dom;Visitante;E;1;1;Betis;0.2;1.8;37;56,087;Isaac Carcelen;04/04/2002;4-2-3-1;Miguel Ángel Ortiz Arias;Informe del partido;
27/09/2023;21:30;Semana 7 de partido;Mié;Local;E;0;0;Rayo Vallecano;0.6;0.3;52;18,505;Isaac Carcelen;04/04/2002;4-2-3-1;Francisco Hernández;Informe del partido;
01/10/2023;21:00;Semana 8 de partido;Dom;Visitante;D;2;3;Atlético Madrid;0.8;2.7;31;53,421;Jeremías Ledesma;05/03/2002;03/05/2002;Javier Villanueva;Informe del partido;
07/10/2023;14:00;Semana 9 de partido;Sáb;Local;D;0;1;Girona;0.4;1.2;27;16,438;Isaac Carcelen;04/04/2002;03/04/2003;Juan Martínez;Informe del partido;
23/10/2023;21:00;Semana 10 de partido;Lun;Visitante;D;0;2;Valencia;0.6;1.5;39;41,647;Isaac Carcelen;04/04/2002;4-2-3-1;Pablo González;Informe del partido;
28/10/2023;21:00;Semana 11 de partido;Sáb;Local;E;2;2;Sevilla;1.1;1.2;34;18,886;Isaac Carcelen;04/04/2002;04/03/2003;César Soto;Informe del partido;
06/11/2023;21:00;Semana 12 de partido;Lun;Visitante;D;0;1;Getafe;0.5;1.2;55;9,853;Isaac Carcelen;04/04/2002;04/04/2002;Ricardo de Burgos;Informe del partido;
26/11/2023;18:30;Semana 14 de partido;Dom;Local;D;0;3;Real Madrid;1.2;1.6;39;20,325;Jeremías Ledesma;05/04/2001;4-2-2-2;Guillermo Cuadra;Informe del partido;
29/11/2023;21:00;Semana 13 de partido;Mié;Visitante;E;1;1;Mallorca;0.3;1.1;33;13,821;Isaac Carcelen;04/04/2002;05/03/2002;Javier Villanueva;Informe del partido;
