;;;;;;;;;;;;;;;;;;;;;;;;
Fecha;Hora;Ronda;Día;Sedes;Resultado;GF;GC;Adversario;Gls.;Dis;DaP;% de TT;G/T;G/TalArc;Dist;FK;TP;TPint;xG;npxG;npxG/Sh;G-xG;np:G-xG;Informe del partido
14/08/2023;19:30;Semana 1 de partido;Lun;Local;V;1;0;Alavés;1;12;3;25.0;0.08;0.33;17.6;1;0;0;0.7;0.7;0.05;+0.3;+0.3;Informe del partido
20/08/2023;19:30;Semana 2 de partido;Dom;Visitante;D;0;2;Barcelona;0;10;1;10.0;0.00;0.00;12.0;0;0;0;1.1;1.1;0.12;-1.1;-1.1;Informe del partido
26/08/2023;19:00;Semana 3 de partido;Sáb;Local;E;1;1;Almería;1;11;3;27.3;0.09;0.33;15.9;1;0;0;1.6;1.6;0.14;-0.6;-0.6;Informe del partido
01/09/2023;19:30;Semana 4 de partido;Vie;Local;V;3;1;Villarreal;3;17;3;17.6;0.12;0.67;22.1;0;1;1;2.1;1.3;0.08;+0.9;+0.7;Informe del partido
16/09/2023;14:00;Semana 5 de partido;Sáb;Visitante;D;0;3;Athletic Club;0;5;4;80.0;0.00;0.00;21.8;1;0;0;0.3;0.3;0.06;-0.3;-0.3;Informe del partido
24/09/2023;18:30;Semana 6 de partido;Dom;Visitante;E;1;1;Betis;1;5;1;20.0;0.20;1.00;16.2;0;0;0;0.2;0.2;0.04;+0.8;+0.8;Informe del partido
27/09/2023;21:30;Semana 7 de partido;Mié;Local;E;0;0;Rayo Vallecano;0;9;2;22.2;0.00;0.00;18.0;0;0;0;0.6;0.6;0.07;-0.6;-0.6;Informe del partido
01/10/2023;21:00;Semana 8 de partido;Dom;Visitante;D;2;3;Atlético Madrid;2;8;4;50.0;0.25;0.50;21.8;0;0;0;0.8;0.8;0.11;+1.2;+1.2;Informe del partido
07/10/2023;14:00;Semana 9 de partido;Sáb;Local;D;0;1;Girona;0;8;2;25.0;0.00;0.00;17.6;0;0;0;0.4;0.4;0.05;-0.4;-0.4;Informe del partido
23/10/2023;21:00;Semana 10 de partido;Lun;Visitante;D;0;2;Valencia;0;5;4;80.0;0.00;0.00;9.9;0;0;0;0.6;0.6;0.13;-0.6;-0.6;Informe del partido
28/10/2023;21:00;Semana 11 de partido;Sáb;Local;E;2;2;Sevilla;2;10;5;50.0;0.20;0.40;18.3;2;0;0;1.1;1.1;0.11;+0.9;+0.9;Informe del partido
06/11/2023;21:00;Semana 12 de partido;Lun;Visitante;D;0;1;Getafe;0;6;2;33.3;0.00;0.00;17.4;0;0;0;0.5;0.5;0.09;-0.5;-0.5;Informe del partido
26/11/2023;18:30;Semana 14 de partido;Dom;Local;D;0;3;Real Madrid;0;13;4;30.8;0.00;0.00;20.0;3;0;0;1.2;1.2;0.09;-1.2;-1.2;Informe del partido
29/11/2023;21:00;Semana 13 de partido;Mié;Visitante;E;1;1;Mallorca;1;6;3;50.0;0.17;0.33;31.9;2;0;0;0.3;0.3;0.05;+0.7;+0.7;Informe del partido
04/12/2023;21:00;Semana 15 de partido;Lun;Visitante;E;1;1;Celta Vigo;1;2;1;50.0;0.50;1.00;17.7;0;0;0;0.3;0.3;0.13;+0.7;+0.7;Informe del partido
10/12/2023;18:30;Semana 16 de partido;Dom;Local;E;1;1;Osasuna;1;12;5;41.7;0.08;0.20;17.2;0;0;0;0.9;0.9;0.07;+0.1;+0.1;Informe del partido
