;;;;;;;;;;;;;;;;;;;;;;;;
Contra Cádiz;;;;;;;;;Estándar;;;;;;;;;;Expectativa;;;;;
Fecha;Hora;Ronda;Día;Sedes;Resultado;GF;GC;Adversario;Gls.;Dis;DaP;% de TT;G/T;G/TalArc;Dist;FK;TP;TPint;xG;npxG;npxG/Sh;G-xG;np:G-xG;Informe del partido
14/08/2023;19:30;Semana 1 de partido;Lun;Visitante;D;0;1;Alavés;0;10;2;20.0;0.00;0.00;22.1;0;0;0;0.3;0.3;0.03;-0.3;-0.3;Informe del partido
20/08/2023;19:30;Semana 2 de partido;Dom;Local;V;2;0;Barcelona;2;24;10;41.7;0.08;0.20;15.5;2;0;0;3.4;3.4;0.15;-1.4;-1.4;Informe del partido
26/08/2023;19:00;Semana 3 de partido;Sáb;Visitante;E;1;1;Almería;1;5;2;40.0;0.20;0.50;17.6;1;0;0;0.3;0.3;0.05;+0.7;+0.7;Informe del partido
01/09/2023;19:30;Semana 4 de partido;Vie;Visitante;D;1;3;Villarreal;1;7;3;42.9;0.14;0.33;19.8;0;0;0;0.3;0.3;0.05;+0.7;+0.7;Informe del partido
16/09/2023;14:00;Semana 5 de partido;Sáb;Local;V;3;0;Athletic Club;3;20;8;40.0;0.15;0.38;13.4;0;0;0;2.9;2.9;0.14;+0.1;+0.1;Informe del partido
24/09/2023;18:30;Semana 6 de partido;Dom;Local;E;1;1;Betis;1;21;7;33.3;0.05;0.14;16.4;2;0;0;1.8;1.8;0.09;-0.8;-0.8;Informe del partido
27/09/2023;21:30;Semana 7 de partido;Mié;Visitante;E;0;0;Rayo Vallecano;0;9;4;44.4;0.00;0.00;28.2;1;0;0;0.3;0.3;0.03;-0.3;-0.3;Informe del partido
01/10/2023;21:00;Semana 8 de partido;Dom;Local;V;3;2;Atlético Madrid;3;18;9;50.0;0.17;0.33;15.5;1;0;0;2.7;2.7;0.15;+0.3;+0.3;Informe del partido
07/10/2023;14:00;Semana 9 de partido;Sáb;Visitante;V;1;0;Girona;1;20;5;25.0;0.05;0.20;22.2;0;0;0;1.2;1.2;0.06;-0.2;-0.2;Informe del partido
23/10/2023;21:00;Semana 10 de partido;Lun;Local;V;2;0;Valencia;2;12;4;33.3;0.17;0.50;16.8;1;0;0;1.5;1.5;0.14;+0.5;+0.5;Informe del partido
28/10/2023;21:00;Semana 11 de partido;Sáb;Visitante;E;2;2;Sevilla;2;20;10;50.0;0.10;0.20;16.8;0;0;0;1.2;1.2;0.06;+0.8;+0.8;Informe del partido
