"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2021-08-14","Matchweek 1","Home","Alfonso Espino","Levante","Y",0.34,0.91,"Left Foot",10,"90+7","0-1","Aitor Fernández","","Salvi","Shot","","",""
2,"2021-08-20","Matchweek 2","Away","Álvaro Negredo","Betis","Y",0.79,0.99,"Left Foot",13,"11","0-0","Rui Silva","","Anthony Lozano","Fouled","","",""
3,"2021-08-29","Matchweek 3","Home","Álex Fernández","Osasuna","Y",0.54,0.52,"Left Foot",10,"16","0-0","Sergio Herrera","Salvi","Salvi","Pass (Live)","Álex Fernández","Pass (Live)",""
4,"2021-08-29","Matchweek 3","Home","Álex Fernández","Osasuna","Y",0.79,0.95,"Right Foot",13,"66","1-1","Sergio Herrera","","","Fouled","Alberto Perea","Pass (Live)",""
5,"2021-09-17","Matchweek 5","Away","Anthony Lozano","Celta Vigo","Y",0.09,0.58,"Head",10,"38","0-0","Matías Dituro","Tomás Alarcón","Tomás Alarcón","Pass (Dead)","Rubén Sobrino","Fouled",""
6,"2021-09-17","Matchweek 5","Away","Alfonso Espino","Celta Vigo","Y",0.18,0.16,"Left Foot",12,"43","1-0","Matías Dituro","","Salvi","Shot","","","Volley"
7,"2021-09-26","Matchweek 7","Away","Varazdat Haroyan","Rayo Vallecano","Y",0.51,0.77,"Right Foot",6,"23","0-1","Stole Dimitrievski","Jens Jønsson","Jens Jønsson","Pass (Live)","Tomás Alarcón","Pass (Dead)","Volley"
8,"2021-10-26","Matchweek 11","Away","Anthony Lozano","Villarreal","Y",0.12,0.05,"Left Foot",7,"14","0-0","Sergio Asenjo","Álex Fernández","Álex Fernández","Pass (Live)","","","Volley"
9,"2021-10-26","Matchweek 11","Away","Anthony Lozano","Villarreal","Y",0.09,0.17,"Left Foot",6,"45+1","1-1","Sergio Asenjo","Fali","Fali","Pass (Dead)","Jens Jønsson","Fouled",""
10,"2021-10-26","Matchweek 11","Away","Anthony Lozano","Villarreal","Y",0.62,0.82,"Right Foot",14,"52","2-1","Sergio Asenjo","Rubén Sobrino","Rubén Sobrino","Pass (Live)","Chapela","Pass (Live)",""
11,"2021-10-31","Matchweek 12","Home","Álvaro Negredo","Mallorca","N",0.79,0.97,"Left Foot",13,"90+3","0-1","Manolo Reina","","Anthony Lozano","Fouled","Álvaro Negredo","Pass (Live)",""
12,"2021-11-05","Matchweek 13","Away","Salvi","Athletic Club","Y*",0.11,0.07,"Right Foot",8,"6","0-0","Unai Simón","Anthony Lozano","","","","","Deflected"
13,"2021-11-28","Matchweek 15","Home","Anthony Lozano","Atlético Madrid","Y",0.01,0.78,"Right Foot",20,"86","0-3","Jan Oblak","","Anthony Lozano","Take-On","Jeremías Ledesma","Pass (Live)","Deflected"
14,"2021-12-05","Matchweek 16","Away","Álex Fernández","Elche","Y*",0.08,0.61,"Head",5,"90+1","0-2","Édgar Badía","Alberto Perea","Alberto Perea","Pass (Dead)","Carlos Akapo","Pass (Live)",""
15,"2021-12-13","Matchweek 17","Home","Santiago Arzamendia","Granada","Y",0.01,0.43,"Left Foot",30,"32","0-0","Luís Maximiano","Fali","Anthony Lozano","Fouled","Alfonso Espino","Pass (Dead)","Deflected, Volley"
16,"2022-01-18","Matchweek 21","Home","Álvaro Negredo","Espanyol","Y",0.11,0.7,"Left Foot",9,"54","0-1","Diego López","","Isaac Carcelen","Pass (Live)","Alberto Perea","Pass (Live)","Deflected"
17,"2022-01-18","Matchweek 21","Home","Iván Alejo","Espanyol","N",0.25,0.82,"Right Foot",9,"90+1","1-1","Diego López","Álvaro Negredo","Álvaro Negredo","Pass (Dead)","","",""
18,"2022-01-22","Matchweek 22","Away","Álvaro Negredo","Levante","Y",0.05,0.51,"Head",9,"34","0-0","Aitor Fernández","Anthony Lozano","Anthony Lozano","Pass (Live)","Fede San Emeterio","Pass (Live)",""
19,"2022-01-22","Matchweek 22","Away","Salvi","Levante","Y*",0.35,0.96,"Right Foot",4,"73","1-0","Aitor Fernández","Iván Alejo","Iván Alejo","Pass (Live)","Iván Alejo","Take-On","Deflected"
20,"2022-02-05","Matchweek 23","Away","Rubén Alcaraz","Mallorca","Y",0.03,0.67,"Left Foot",23,"8","0-0","Sergio Rico","Iván Alejo","Iván Alejo","Pass (Live)","Lucas Pérez","Pass (Live)",""
21,"2022-02-19","Matchweek 25","Home","Álvaro Negredo","Getafe","Y",0.07,0.23,"Left Foot",17,"45+2","0-1","David Soria","Alfonso Espino","Alfonso Espino","Pass (Live)","Anthony Lozano","Pass (Live)",""
22,"2022-03-06","Matchweek 27","Home","Rubén Alcaraz","Rayo Vallecano","Y",0.09,0.09,"Head",5,"55","0-0","Luca Zidane","Oussama Idrissi","Oussama Idrissi","Pass (Dead)","","",""
23,"2022-03-06","Matchweek 27","Home","Oussama Idrissi","Rayo Vallecano","Y",0.47,0.89,"Right Foot",10,"63","1-0","Luca Zidane","","Fede San Emeterio","Pass (Live)","Fede San Emeterio","Tackle",""
24,"2022-03-11","Matchweek 28","Away","Álvaro Negredo","Atlético Madrid","Y",0.11,0.8,"Head",9,"45","0-1","Jan Oblak","Alfonso Espino","Alfonso Espino","Pass (Live)","Oussama Idrissi","Pass (Live)",""
25,"2022-03-20","Matchweek 29","Home","Rubén Sobrino","Villarreal","N",0.81,0.99,"Right Foot",3,"90","0-0","Sergio Asenjo","Lucas Pérez","Oussama Idrissi","Pass (Live)","José Mari","Pass (Live)",""
26,"2022-04-09","Matchweek 31","Home","Iván Alejo","Betis","Y",0.8,0.96,"Right Foot",4,"58","0-0","Claudio Bravo","","","","","","Volley"
27,"2022-04-18","Matchweek 32","Away","Lucas Pérez","Barcelona","Y",0.86,0.84,"Right Foot",4,"48","0-0","Marc-André ter Stegen","","Rubén Sobrino","Shot","","","Volley"
28,"2022-04-21","Matchweek 33","Home","Lucas Pérez","Athletic Club","N",0.99,0.97,"Left Foot",2,"56","0-3","Unai Simón","","Anthony Lozano","Shot","","",""
29,"2022-04-21","Matchweek 33","Home","Rubén Sobrino","Athletic Club","N",0.19,0.52,"Right Foot",11,"87","1-3","Unai Simón","Álvaro Negredo","Álvaro Negredo","Pass (Live)","Iván Alejo","Pass (Live)",""
30,"2022-04-29","Matchweek 34","Away","Lucas Pérez","Sevilla","Y",0.05,0.32,"Left Foot",29,"66","0-1","Yassine Bounou","","Rubén Sobrino","Fouled","Rubén Sobrino","Interception",""
31,"2022-05-07","Matchweek 35","Home","Álvaro Negredo","Elche","Y",0.15,0.25,"Head",6,"80","0-0","Édgar Badía","Lucas Pérez","Lucas Pérez","Pass (Live)","Oussama Idrissi","Pass (Live)",""
32,"2022-05-07","Matchweek 35","Home","Rubén Sobrino","Elche","N",0.05,0.1,"Head",18,"83","1-0","Édgar Badía","Álex Fernández","Álex Fernández","Pass (Live)","","",""
33,"2022-05-07","Matchweek 35","Home","Anthony Lozano","Elche","N",0.49,0.94,"Right Foot",10,"90+3","2-0","Édgar Badía","","Anthony Lozano","Shot","","",""
34,"2022-05-15","Matchweek 37","Home","Rubén Sobrino","Real Madrid","Y",0.08,0.31,"Right Foot",16,"37","0-1","Andriy Lunin","","Rubén Sobrino","Take-On","Rubén Alcaraz","Pass (Live)","Deflected"
35,"2022-05-22","Matchweek 38","Away","Anthony Lozano","Alavés","N",0.18,0.63,"Left Foot",8,"76","0-0","Antonio Sivera","Isaac Carcelen","Isaac Carcelen","Pass (Live)","José Mari","Pass (Live)",""
