"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2020-09-12","Matchweek 1","Home","Adrián López","Osasuna","Y",0.43,0.71,"Right Foot",16,"10","0-0","David Gil","Oier Sanjurjo","Oier Sanjurjo","Pass (Live)","Oier Sanjurjo","Tackle",""
2,"2020-09-12","Matchweek 1","Home","Rubén García","Osasuna","Y",0.16,0.25,"Left Foot",11,"79","1-0","David Gil","Lucas Torró","Lucas Torró","Pass (Live)","Nacho Vidal","Pass (Dead)","Volley"
3,"2020-09-27","Matchweek 3","Home","Luuk de Jong","Sevilla","N",0.11,0.29,"Head",8,"65","0-1","Alberto Cifuentes","Jesús Navas","Jesús Navas","Pass (Live)","Jesús Navas","Take-On",""
4,"2020-09-27","Matchweek 3","Home","Munir El Haddadi","Sevilla","N",0.39,0.83,"Left Foot",17,"90","1-1","Alberto Cifuentes","Joan Jordán","Joan Jordán","Pass (Live)","Marcos Acuña","Pass (Live)",""
5,"2020-09-27","Matchweek 3","Home","Ivan Rakitić","Sevilla","Y",0.54,0.95,"Right Foot",11,"90+4","2-1","Alberto Cifuentes","Munir El Haddadi","Munir El Haddadi","Pass (Live)","Óscar Rodríguez Arnaiz","Pass (Live)",""
6,"2020-10-04","Matchweek 5","Home","Germán Sánchez","Granada","Y*",0.1,0.25,"Head",9,"27","0-0","Jeremías Ledesma","Kenedy","Kenedy","Pass (Live)","Luis Milla","Pass (Live)",""
7,"2020-11-07","Matchweek 9","Away","João Félix","Atlético Madrid","Y",0.12,0.23,"Head",9,"8","0-0","Jeremías Ledesma","Marcos Llorente","Marcos Llorente","Pass (Live)","Héctor Herrera","Pass (Dead)",""
8,"2020-11-07","Matchweek 9","Away","Marcos Llorente","Atlético Madrid","Y",0.05,0.1,"Right Foot",12,"22","1-0","Jeremías Ledesma","","Marcos Llorente","Tackle","","",""
9,"2020-11-07","Matchweek 9","Away","Luis Suárez","Atlético Madrid","Y",0.32,0.87,"Left Foot",11,"51","2-0","Jeremías Ledesma","João Félix","João Félix","Pass (Live)","Koke","Pass (Live)",""
10,"2020-11-07","Matchweek 9","Away","João Félix","Atlético Madrid","Y",0.39,0.78,"Right Foot",13,"90","3-0","Jeremías Ledesma","Ángel Correa","Ángel Correa","Pass (Live)","Lucas Torreira","Pass (Live)",""
11,"2020-11-22","Matchweek 10","Home","Alexander Isak","Real Sociedad","Y",0.17,0.09,"Head",4,"66","0-0","Jeremías Ledesma","Adnan Januzaj","Adnan Januzaj","Pass (Live)","David Silva","Pass (Live)",""
12,"2020-11-28","Matchweek 11","Away","Lucas Boyé","Elche","Y",0.03,0.53,"Left Foot",24,"38","0-0","Jeremías Ledesma","Pere Milla","Pere Milla","Pass (Live)","Iván Marcone","Pass (Live)",""
