"Fecha","Hora","Competición","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Posesión","Asistencia","Capitán","Formación","Formación Rival","Árbitro","Informe","Notas"
"2019-08-18","20:00","La Liga 2","Matchweek 1","Sun","Home","W","3","1","Ponferradina",60,"15,009","Alberto Cifuentes","4-2-3-1","4-4-2","Álvaro Moreno","Match Report",""
"2019-08-24","19:00","La Liga 2","Matchweek 2","Sat","Away","W","2","1","CD Mirandés",59,"2,943","Alberto Cifuentes","4-2-3-1","4-2-3-1","Iosu Galech","Match Report",""
"2019-09-01","21:00","La Liga 2","Matchweek 3","Sun","Home","W","2","1","Extremadura",48,"15,415","Alberto Cifuentes","4-2-3-1","4-4-2","Aitor Gorostegui","Match Report",""
"2019-09-06","21:00","La Liga 2","Matchweek 4","Fri","Away","W","2","1","Racing Sant",31,"10,390","Alberto Cifuentes","4-2-3-1","4-2-3-1","Javier Villanueva","Match Report",""
"2019-09-14","20:30","La Liga 2","Matchweek 5","Sat","Home","W","2","0","Girona",36,"15,535","Alberto Cifuentes","4-2-3-1","4-1-4-1","Daniel Ocón","Match Report",""
"2019-09-17","21:00","La Liga 2","Matchweek 6","Tue","Away","L","0","3","Alcorcón",38,"2,555","Jon Ander Garrido","4-4-2","4-2-3-1","Gorka Sagues","Match Report",""
"2019-09-21","16:00","La Liga 2","Matchweek 7","Sat","Home","D","0","0","La Coruña",61,"16,027","Alberto Cifuentes","4-2-3-1","4-4-2","Dámaso Arcediano","Match Report",""
"2019-09-29","16:00","La Liga 2","Matchweek 8","Sun","Away","W","2","1","Almería",36,"13,082","Alberto Cifuentes","4-2-3-1","4-2-3-1","Daniel Trujillo","Match Report",""
"2019-10-02","19:00","La Liga 2","Matchweek 9","Wed","Home","W","1","0","Huesca",32,"15,099","Alberto Cifuentes","4-4-2","4-4-1-1","Javier Villanueva","Match Report",""
"2019-10-06","16:00","La Liga 2","Matchweek 10","Sun","Away","W","2","0","Zaragoza",32,"26,923","Alberto Cifuentes","4-2-3-1","4-4-2","Oliver De La Fuente","Match Report",""
"2019-10-12","18:00","La Liga 2","Matchweek 11","Sat","Away","W","2","1","Málaga",28,"17,467","Alberto Cifuentes","4-2-2-2","3-5-1-1","Rubén Ávalos","Match Report",""
"2019-10-18","21:00","La Liga 2","Matchweek 12","Fri","Home","W","2","0","Las Palmas",24,"16,440","Alberto Cifuentes","4-2-3-1","4-1-4-1","Saúl Ais","Match Report",""
"2019-10-25","21:00","La Liga 2","Matchweek 13","Fri","Away","L","0","1","Albacete",37,"8,857","Alberto Cifuentes","4-2-3-1","4-4-2","José López","Match Report",""
"2019-11-01","16:00","La Liga 2","Matchweek 14","Fri","Home","W","3","1","Sporting Gijón",45,"17,157","Alberto Cifuentes","4-2-3-1","4-2-3-1","Gorka Sagues","Match Report",""
"2019-11-10","21:00","La Liga 2","Matchweek 15","Sun","Away","D","1","1","Rayo Vallecano",35,"9,700","Alberto Cifuentes","4-2-3-1","4-1-4-1","Javier Villanueva","Match Report",""
"2019-11-17","20:00","La Liga 2","Matchweek 16","Sun","Away","D","1","1","Tenerife",40,"9,860","Alberto Cifuentes","4-2-3-1","4-2-3-1","Dámaso Arcediano","Match Report",""
"2019-11-24","21:00","La Liga 2","Matchweek 17","Sun","Home","W","2","1","Lugo",53,"15,444","Alberto Cifuentes","4-2-3-1","5-4-1","Víctor Areces","Match Report",""
"2019-12-01","12:00","La Liga 2","Matchweek 18","Sun","Away","L","0","1","Fuenlabrada",41,"5,282","Alberto Cifuentes","4-2-3-1","4-4-2","Saúl Ais","Match Report",""
"2019-12-08","21:00","La Liga 2","Matchweek 19","Sun","Home","D","0","0","Elche",45,"16,625","Alberto Cifuentes","4-2-3-1","4-4-2","Daniel Trujillo","Match Report",""
"2019-12-15","16:00","La Liga 2","Matchweek 20","Sun","Away","W","2","0","Oviedo",38,"11,808","Alberto Cifuentes","4-2-3-1","4-2-3-1","Daniel Ocón","Match Report",""
"2019-12-17","15:30","Copa del Rey","First round","Tue","Away","W","1","0","CD Lealtad",NA,"","","","","","Match Report",""
