"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2020-09-12","21:00","Matchweek 1","Sat","Home","L","0","2","Osasuna","0","12","3","25.0","0.00","0.00","18.2","1","0","0","0.7","0.7","0.06","-0.7","-0.7","Match Report"
"2020-09-20","16:00","Matchweek 2","Sun","Away","W","2","0","Huesca","2","6","4","66.7","0.33","0.50","18.6","0","0","0","1.2","1.2","0.20","+0.8","+0.8","Match Report"
"2020-09-27","18:30","Matchweek 3","Sun","Home","L","1","3","Sevilla","1","12","5","41.7","0.08","0.20","20.6","0","0","0","1.1","1.1","0.09","-0.1","-0.1","Match Report"
"2020-10-01","19:00","Matchweek 4","Thu","Away","W","1","0","Athletic Club","0","3","1","33.3","0.00","0.00","15.5","0","0","0","0.2","0.2","0.08","-0.2","-0.2","Match Report"
"2020-10-04","18:30","Matchweek 5","Sun","Home","D","1","1","Granada","1","14","4","28.6","0.07","0.25","19.8","2","0","0","1.0","1.0","0.08","0.0","0.0","Match Report"
"2020-10-17","18:30","Matchweek 6","Sat","Away","W","1","0","Real Madrid","1","14","4","28.6","0.07","0.25","14.9","0","0","0","1.6","1.6","0.12","-0.6","-0.6","Match Report"
"2020-10-25","16:00","Matchweek 7","Sun","Home","D","0","0","Villarreal","0","5","0","0.0","0.00","","18.6","0","0","0","0.2","0.2","0.05","-0.2","-0.2","Match Report"
"2020-10-30","21:00","Matchweek 8","Fri","Away","W","2","0","Eibar","2","6","4","66.7","0.33","0.50","16.9","0","0","0","1.0","1.0","0.16","+1.0","+1.0","Match Report"
"2020-11-07","21:00","Matchweek 9","Sat","Away","L","0","4","Atlético Madrid","0","10","3","30.0","0.00","0.00","23.9","0","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2020-11-22","16:15","Matchweek 10","Sun","Home","L","0","1","Real Sociedad","0","2","0","0.0","0.00","","26.2","1","0","0","0.1","0.1","0.04","-0.1","-0.1","Match Report"
