"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Informe"
"2020-09-12","21:00","Matchweek 1","Sat","Away","W","2","0","Osasuna","2","6","4","66.7","0.33","0.50","19.4","1","0","0","0.8","0.8","0.13","+1.2","+1.2","Match Report"
"2020-09-20","16:00","Matchweek 2","Sun","Home","L","0","2","Huesca","0","5","1","20.0","0.00","0.00","17.4","0","0","0","0.3","0.3","0.06","-0.3","-0.3","Match Report"
"2020-09-27","18:30","Matchweek 3","Sun","Away","W","3","1","Sevilla","3","14","5","35.7","0.21","0.60","13.3","0","0","0","2.4","2.4","0.17","+0.6","+0.6","Match Report"
"2020-10-01","19:00","Matchweek 4","Thu","Home","L","0","1","Athletic Club","0","13","4","30.8","0.00","0.00","21.5","0","0","0","0.6","0.6","0.04","-0.6","-0.6","Match Report"
"2020-10-04","18:30","Matchweek 5","Sun","Away","D","1","1","Granada","1","13","5","38.5","0.08","0.20","20.0","0","0","0","0.6","0.6","0.04","+0.4","+0.4","Match Report"
"2020-10-17","18:30","Matchweek 6","Sat","Home","L","0","1","Real Madrid","0","14","2","14.3","0.00","0.00","19.5","0","0","0","1.0","1.0","0.07","-1.0","-1.0","Match Report"
"2020-10-25","16:00","Matchweek 7","Sun","Away","D","0","0","Villarreal","0","7","2","28.6","0.00","0.00","19.6","1","0","0","0.8","0.8","0.11","-0.8","-0.8","Match Report"
"2020-10-30","21:00","Matchweek 8","Fri","Home","L","0","2","Eibar","0","9","3","33.3","0.00","0.00","17.3","0","0","0","0.5","0.5","0.06","-0.5","-0.5","Match Report"
"2020-11-07","21:00","Matchweek 9","Sat","Home","W","4","0","Atlético Madrid","4","17","7","41.2","0.24","0.57","16.9","0","0","0","2.1","2.1","0.13","+1.9","+1.9","Match Report"
"2020-11-22","16:15","Matchweek 10","Sun","Away","W","1","0","Real Sociedad","1","14","3","21.4","0.07","0.33","17.6","0","0","0","1.2","1.2","0.09","-0.2","-0.2","Match Report"
"2020-11-28","14:00","Matchweek 11","Sat","Home","D","1","1","Elche","1","4","3","75.0","0.25","0.33","24.6","1","0","0","0.1","0.1","0.03","+0.9","+0.9","Match Report"
"2020-12-05","21:00","Matchweek 12","Sat","Away","L","1","2","Barcelona","0","21","8","38.1","0.00","0.00","20.6","4","0","0","1.5","1.5","0.07","-1.5","-1.5","Match Report"
"2020-12-14","21:00","Matchweek 13","Mon","Home","W","4","0","Celta Vigo","4","6","3","50.0","0.50","1.00","15.6","0","1","1","1.5","0.7","0.12","+2.5","+2.3","Match Report"
"2020-12-20","18:30","Matchweek 14","Sun","Away","W","2","0","Getafe","2","6","4","66.7","0.33","0.50","19.0","0","0","0","1.0","1.0","0.17","+1.0","+1.0","Match Report"
"2020-12-23","22:00","Matchweek 15","Wed","Home","W","1","0","Betis","1","6","1","16.7","0.17","1.00","18.5","0","0","0","0.4","0.4","0.06","+0.6","+0.6","Match Report"
"2020-12-29","21:30","Matchweek 16","Tue","Away","D","0","0","Valladolid","0","7","1","14.3","0.00","0.00","16.2","0","0","0","0.5","0.5","0.08","-0.5","-0.5","Match Report"
"2021-01-04","21:00","Matchweek 17","Mon","Home","D","1","1","Valencia","1","11","4","36.4","0.09","0.25","20.2","1","0","0","0.8","0.8","0.07","+0.2","+0.2","Match Report"
"2021-01-10","16:15","Matchweek 18","Sun","Away","L","1","3","Alavés","1","4","1","25.0","0.00","0.00","29.5","0","1","1","0.9","0.1","0.03","+0.1","-0.1","Match Report"
"2021-01-19","19:00","Matchweek 19","Tue","Away","D","2","2","Levante","2","8","5","62.5","0.25","0.40","15.3","1","0","0","1.9","1.9","0.23","+0.1","+0.1","Match Report"
"2021-01-23","16:15","Matchweek 20","Sat","Home","W","3","0","Sevilla","3","15","7","46.7","0.20","0.43","15.9","1","0","0","2.3","2.3","0.15","+0.7","+0.7","Match Report"
"2021-01-31","16:15","Matchweek 21","Sun","Away","W","4","2","Atlético Madrid","4","8","3","37.5","0.38","1.00","21.3","1","1","1","1.9","1.1","0.14","+2.1","+1.9","Match Report"
"2021-02-07","14:00","Matchweek 22","Sun","Home","W","4","1","Real Sociedad","4","16","5","31.3","0.19","0.60","16.2","1","1","1","4.6","3.8","0.26","-0.6","-0.8","Match Report"
