"Nombre","País","Posicion","Edad","90s","Goles","Disparos","Disparos a puerta","% DisparosPuerta","Disparos cada 90min","DisparosPuerta cada 90min","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Matches"
"Jens Jønsson","dk DEN","MF","27","29.1","0","15","2","13.3","0.52","0.07","0.00","0.00","19.0","0","0","0","0.9","0.9","0.06","-0.9","-0.9","Matches"
"Jeremías Ledesma","ar ARG","GK","27","32.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Alfonso Espino","uy URU","DF","28","28.9","0","8","4","50.0","0.28","0.14","0.00","0.00","23.7","0","0","0","0.2","0.2","0.03","-0.2","-0.2","Matches"
"Isaac Carcelen","es ESP","DF","27","28.7","0","11","3","27.3","0.38","0.10","0.00","0.00","26.3","6","0","0","0.5","0.5","0.05","-0.5","-0.5","Matches"
"Fali","es ESP","DF,MF","26","29.3","0","10","2","20.0","0.34","0.07","0.00","0.00","13.0","1","0","0","0.7","0.7","0.07","-0.7","-0.7","Matches"
"Álvaro Negredo","es ESP","FW","34","24.4","8","48","20","41.7","1.97","0.82","0.17","0.40","15.4","2","0","0","5.7","5.7","0.12","+2.3","+2.3","Matches"
"Cala","es ESP","DF","30","25.2","3","14","5","35.7","0.55","0.20","0.21","0.60","13.4","0","0","0","1.9","1.9","0.14","+1.1","+1.1","Matches"
"Salvi","es ESP","MF,FW","29","21.5","2","17","5","29.4","0.79","0.23","0.12","0.40","19.2","0","0","0","2.0","2.0","0.12","0.0","0.0","Matches"
"Marcos Mauro López Gutiérrez","ar ARG","DF","29","20.3","2","6","4","66.7","0.30","0.20","0.33","0.50","8.4","0","0","0","1.5","1.5","0.25","+0.5","+0.5","Matches"
"Álex Fernández","es ESP","MF","27","21.6","4","8","2","25.0","0.37","0.09","0.25","1.00","19.3","0","2","2","3.3","1.8","0.22","+0.7","+0.2","Matches"
"Anthony Lozano","hn HON","FW","27","16.9","3","35","14","40.0","2.07","0.83","0.09","0.21","13.7","0","0","0","5.7","5.7","0.16","-2.7","-2.7","Matches"
"José Mari","es ESP","MF","32","16.1","1","16","3","18.8","0.99","0.19","0.00","0.00","27.9","0","1","1","1.2","0.4","0.03","-0.2","-0.4","Matches"
"Alberto Perea","es ESP","MF","29","17.2","2","28","6","21.4","1.63","0.35","0.07","0.33","22.4","4","0","0","1.8","1.8","0.06","+0.2","+0.2","Matches"
"Jairo Izquierdo","es ESP","MF,DF","26","14.2","1","10","3","30.0","0.70","0.21","0.10","0.33","21.7","0","0","0","0.8","0.8","0.08","+0.2","+0.2","Matches"
"Rubén Sobrino","es ESP","FW,MF","28","12.4","1","9","5","55.6","0.73","0.40","0.11","0.20","11.8","0","0","0","2.0","2.0","0.22","-1.0","-1.0","Matches"
"Carlos Akapo","gq EQG","DF","27","9.6","1","2","1","50.0","0.21","0.10","0.50","1.00","23.4","0","0","0","0.3","0.3","0.17","+0.7","+0.7","Matches"
"Pedro Alcalá","es ESP","DF","31","10.1","0","2","0","0.0","0.20","0.00","0.00","","14.6","0","0","0","0.1","0.1","0.06","-0.1","-0.1","Matches"
"Filip Malbašić","rs SRB","FW,MF","27","9.6","0","9","1","11.1","0.94","0.10","0.00","0.00","17.5","0","0","0","0.8","0.8","0.08","-0.8","-0.8","Matches"
"Jon Ander Garrido","es ESP","MF","30","8.9","0","5","1","20.0","0.56","0.11","0.00","0.00","14.4","0","0","0","0.3","0.3","0.06","-0.3","-0.3","Matches"
"Iván Alejo","es ESP","MF,FW","25","9.2","1","13","4","30.8","1.41","0.44","0.08","0.25","17.9","1","0","0","1.1","1.1","0.08","-0.1","-0.1","Matches"
"Jorge Pombo","es ESP","FW,MF","26","5.8","1","14","4","28.6","2.41","0.69","0.07","0.25","20.7","0","0","0","1.1","1.1","0.08","-0.1","-0.1","Matches"
"Augusto Fernández","ar ARG","MF","34","4.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"David Gil","es ESP","GK","26","4.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Álvaro Giménez","es ESP","FW","29","4.5","2","5","2","40.0","1.11","0.44","0.40","1.00","10.9","0","0","0","1.3","1.3","0.26","+0.7","+0.7","Matches"
"Ivan Šaponjić","rs SRB","FW","22","4.3","1","10","5","50.0","2.32","1.16","0.00","0.00","11.1","0","1","1","2.2","1.4","0.14","-1.2","-1.4","Matches"
"Yann Bodiger","fr FRA","MF","25","2.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Alberto Cifuentes","es ESP","GK","41","2.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Álex Martín","es ESP","DF","22","1.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Marc Baró","es ESP","DF","20","1.0","0","1","1","100.0","1.00","1.00","0.00","0.00","22.6","0","0","0","0.0","0.0","0.03","0.0","0.0","Matches"
"Sergio González","es ESP","MF,DF","23","1.0","0","1","0","0.0","1.00","0.00","0.00","","5.2","0","0","0","0.1","0.1","0.10","-0.1","-0.1","Matches"
"Bobby Adekanye","nl NED","FW,MF","21","0.4","0","1","0","0.0","2.50","0.00","0.00","","17.1","0","0","0","0.3","0.3","0.34","-0.3","-0.3","Matches"
"Álvaro Bastida","es ESP","MF","16","0.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Nieto","es ESP","FW,DF","22","0.2","0","1","0","0.0","6.43","0.00","0.00","","6.1","0","0","0","0.1","0.1","0.09","-0.1","-0.1","Matches"
"Nano","es ESP","FW","25","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Squad Total","","","28.8","38.0","33","299","97","32.4","7.87","2.55","0.10","0.30","17.6","14","4","4","34.7","31.6","0.11","-1.7","-2.6",""
"Opponent Total","","","27.5","38.0","57","439","140","31.9","11.55","3.68","0.11","0.34","18.0","19","9","10","55.4","47.6","0.11","+1.6","+0.4",""
