"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2021-08-21","Matchweek 2","Home","Iñigo Martínez","Barcelona","Y",0.08,0.5,"Head",7,"50","0-0","Neto","Iker Muniain","Iker Muniain","Pass (Dead)","Iñigo Lekue","Pass (Dead)",""
2,"2021-08-28","Matchweek 3","Away","Iñaki Williams","Celta Vigo","Y",0.32,0.43,"Right Foot",14,"34","0-0","Matías Dituro","Oihan Sancet","Oihan Sancet","Pass (Live)","Oihan Sancet","Tackle",""
3,"2021-09-11","Matchweek 4","Home","Daniel Vivian","Mallorca","Y",0.06,0.46,"Head",14,"68","0-0","Manolo Reina","Iker Muniain","Iker Muniain","Pass (Dead)","Mikel Balenziaga","Fouled",""
4,"2021-09-11","Matchweek 4","Home","Iñaki Williams","Mallorca","Y",0.31,0.64,"Right Foot",9,"74","1-0","Manolo Reina","Iker Muniain","Iker Muniain","Pass (Live)","","","Deflected"
5,"2021-09-21","Matchweek 6","Home","Pathé Ciss (OG)","Rayo Vallecano","Y",NA,NA,"",NA,"33","0-1","Stole Dimitrievski","","","","","","Own Goal"
6,"2021-09-25","Matchweek 7","Away","Iñigo Martínez","Valencia","Y",0.07,0.46,"Head",11,"69","0-0","Jasper Cillessen","Álex Berenguer","Álex Berenguer","Pass (Dead)","Raúl García","Pass (Live)",""
7,"2021-10-01","Matchweek 8","Home","Raúl García","Alavés","Y",0.2,0.21,"Head",6,"44","0-0","Fernando Pacheco","Iñigo Lekue","Iñigo Lekue","Pass (Live)","Iker Muniain","Pass (Live)",""
8,"2021-10-23","Matchweek 10","Home","Raúl García","Villarreal","Y",0.55,0.39,"Right Foot",8,"14","0-0","Gerónimo Rulli","Iñaki Williams","Iñaki Williams","Pass (Live)","Iker Muniain","Pass (Live)",""
9,"2021-10-23","Matchweek 10","Home","Iker Muniain","Villarreal","Y*",0.79,0.98,"Right Foot",13,"77","1-1","Gerónimo Rulli","","Unai Vencedor Paris","Fouled","Iñigo Martínez","Pass (Live)",""
10,"2021-10-26","Matchweek 11","Away","Iñaki Williams","Espanyol","Y",0.84,0.93,"Right Foot",4,"52","0-1","Diego López","Iñigo Lekue","Iñigo Lekue","Pass (Live)","Iñigo Lekue","Tackle",""
11,"2021-10-31","Matchweek 12","Away","Iker Muniain","Real Sociedad","Y*",0.05,0.21,"Right Foot",25,"90+1","0-1","Álex Remiro","","Iker Muniain","Fouled","Iñigo Lekue","Pass (Live)",""
12,"2021-11-26","Matchweek 15","Home","Raúl García","Granada","Y",0.22,0.71,"Right Foot",13,"10","0-0","Luís Maximiano","Iker Muniain","Iker Muniain","Pass (Live)","","",""
13,"2021-11-26","Matchweek 15","Home","Luís Maximiano (OG)","Granada","Y",NA,NA,"",NA,"76","1-2","Luís Maximiano","","","","","","Own Goal"
14,"2021-12-19","Matchweek 18","Home","Iñaki Williams","Betis","Y",0.5,0.72,"Right Foot",14,"2","0-0","Rui Silva","Iker Muniain","Iker Muniain","Pass (Live)","Raúl García","Pass (Live)",""
15,"2021-12-19","Matchweek 18","Home","Iñaki Williams","Betis","Y",0.04,0.21,"Left Foot",14,"72","1-2","Rui Silva","Oihan Sancet","Oihan Sancet","Pass (Live)","Unai Núñez","Pass (Live)",""
16,"2021-12-19","Matchweek 18","Home","Óscar de Marcos","Betis","N",0.07,0.38,"Right Foot",20,"89","2-2","Rui Silva","Oihan Sancet","Óscar de Marcos","Pass (Live)","Oier Zarraga","Pass (Live)","Deflected"
17,"2021-12-22","Matchweek 21","Home","Oihan Sancet","Real Madrid","Y",0.04,0.04,"Right Foot",20,"10","0-2","Thibaut Courtois","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Dani García","Pass (Live)",""
18,"2022-01-03","Matchweek 19","Away","Oihan Sancet","Osasuna","Y",0.04,0.68,"Head",14,"16","0-1","Sergio Herrera","Iñaki Williams","Iñaki Williams","Pass (Live)","Álex Berenguer","Pass (Live)",""
19,"2022-01-03","Matchweek 19","Away","Oihan Sancet","Osasuna","Y",0.24,0.51,"Right Foot",10,"25","1-1","Sergio Herrera","Óscar de Marcos","Óscar de Marcos","Pass (Live)","Unai Vencedor Paris","Pass (Live)","Volley"
20,"2022-01-03","Matchweek 19","Away","Oihan Sancet","Osasuna","Y",0.43,0.92,"Right Foot",5,"68","2-1","Sergio Herrera","Álex Berenguer","Álex Berenguer","Pass (Live)","Iker Muniain","Pass (Live)",""
21,"2022-01-23","Matchweek 22","Away","Nicolás Serrano","Rayo Vallecano","Y",0.05,0.15,"Left Foot",16,"30","0-0","Luca Zidane","","Álex Berenguer","Pass (Live)","Álex Berenguer","Tackle","Volley"
22,"2022-02-07","Matchweek 23","Home","Oihan Sancet","Espanyol","Y",0.16,0.83,"Right Foot",13,"5","0-1","Diego López","Raúl García","Raúl García","Pass (Live)","Oier Zarraga","Pass (Live)",""
23,"2022-02-07","Matchweek 23","Home","Iñigo Martínez","Espanyol","Y",0.38,0.82,"Head",5,"16","1-1","Diego López","Daniel Vivian","Daniel Vivian","Pass (Live)","Álex Berenguer","Shot",""
24,"2022-02-14","Matchweek 24","Away","Raúl García","Mallorca","Y",0.31,0.41,"Left Foot",11,"59","0-2","Sergio Rico","Yuri Berchiche","Yuri Berchiche","Pass (Live)","Raúl García","Pass (Live)",""
25,"2022-02-14","Matchweek 24","Away","Álex Berenguer","Mallorca","N",0.67,0.91,"Right Foot",3,"61","1-2","Sergio Rico","Iker Muniain","Iker Muniain","Pass (Dead)","","","Volley"
26,"2022-02-20","Matchweek 25","Home","Daniel Vivian","Real Sociedad","Y",0.21,0.45,"Head",7,"68","0-0","Álex Remiro","Álex Berenguer","Álex Berenguer","Pass (Dead)","Oihan Sancet","Pass (Live)",""
27,"2022-02-20","Matchweek 25","Home","Oihan Sancet","Real Sociedad","N",0.1,0.28,"Right Foot",8,"72","1-0","Álex Remiro","Iker Muniain","Iker Muniain","Pass (Dead)","","","Volley"
28,"2022-02-20","Matchweek 25","Home","Iñaki Williams","Real Sociedad","Y",0.81,0.83,"Right Foot",5,"80","2-0","Álex Remiro","Álex Berenguer","Álex Berenguer","Pass (Live)","Oihan Sancet","Pass (Live)",""
29,"2022-02-20","Matchweek 25","Home","Iker Muniain","Real Sociedad","Y*",0.15,0.19,"Right Foot",10,"89","3-0","Álex Remiro","Oihan Sancet","Oihan Sancet","Pass (Live)","Óscar de Marcos","Pass (Live)",""
30,"2022-03-07","Matchweek 27","Home","Mikel Vesga","Levante","Y",0.22,0.67,"Head",8,"63","0-0","Dani Cárdenas","Álex Berenguer","Álex Berenguer","Pass (Live)","Mikel Vesga","Pass (Live)",""
31,"2022-03-07","Matchweek 27","Home","Iñaki Williams","Levante","Y",0.37,0.61,"Right Foot",16,"76","1-0","Dani Cárdenas","Álex Berenguer","Álex Berenguer","Pass (Live)","","",""
32,"2022-03-07","Matchweek 27","Home","Oier Zarraga","Levante","N",0.79,0.99,"Right Foot",13,"88","2-0","Dani Cárdenas","","Oier Zarraga","Fouled","Nico Williams","Pass (Live)",""
33,"2022-03-18","Matchweek 29","Home","Yuri Berchiche","Getafe","Y",0.12,0.52,"Left Foot",13,"29","0-1","David Soria","Iñaki Williams","Iñaki Williams","Pass (Live)","Yuri Berchiche","Pass (Live)",""
34,"2022-04-03","Matchweek 30","Home","Álex Berenguer","Elche","Y",0.26,0.33,"Right Foot",8,"32","0-0","Édgar Badía","Yuri Berchiche","Iker Muniain","Pass (Live)","Yuri Berchiche","Pass (Dead)","Volley"
35,"2022-04-03","Matchweek 30","Home","Asier Villalibre","Elche","N",0.17,0.89,"Right Foot",7,"86","1-0","Édgar Badía","Raúl García","Raúl García","Pass (Live)","Asier Villalibre","Pass (Live)",""
36,"2022-04-09","Matchweek 31","Away","Raúl García","Villarreal","Y",0.98,0.97,"Right Foot",3,"43","0-0","Sergio Asenjo","Iker Muniain","Iker Muniain","Pass (Live)","Iker Muniain","Take-On",""
37,"2022-04-21","Matchweek 33","Away","Raúl García","Cádiz","Y",0.07,0.04,"Left Foot",14,"3","0-0","Jeremías Ledesma","Iñaki Williams","Iñaki Williams","Pass (Live)","Raúl García","Pass (Live)",""
38,"2022-04-21","Matchweek 33","Away","Iker Muniain","Cádiz","Y*",0.34,0.97,"Right Foot",4,"22","1-0","Jeremías Ledesma","","Iker Muniain","Shot","","",""
39,"2022-04-21","Matchweek 33","Away","Mikel Vesga","Cádiz","Y",0.03,0.42,"Left Foot",28,"33","2-0","Jeremías Ledesma","Iker Muniain","Iker Muniain","Pass (Live)","Óscar de Marcos","Pass (Live)",""
40,"2022-04-30","Matchweek 34","Home","Mario Hermoso (OG)","Atlético Madrid","Y",NA,NA,"",NA,"8","0-0","Jan Oblak","","","","","","Own Goal"
41,"2022-04-30","Matchweek 34","Home","Iñaki Williams","Atlético Madrid","Y",0.79,0.9,"Right Foot",13,"56","1-0","Jan Oblak","","Iker Muniain","Fouled","","",""
