"Rk","Fecha","Jornada","Local.Visitante","Scorer","Rival","Start","xG","PSxG","Body Part","Distancia","Minute","Score","Goalkeeper","Assist","GCA1","Type","GCA2","Type","Notas"
1,"2023-08-12","Matchweek 1","Home","Rodrygo","Real Madrid","Y",0.07,0.07,"Right Foot",13,"28","0-0","Unai Simón","Dani Carvajal","Dani Carvajal","Pass (Live)","Rodrygo","Pass (Live)",""
2,"2023-08-12","Matchweek 1","Home","Jude Bellingham","Real Madrid","Y",0.08,0.47,"Right Foot",15,"36","1-0","Unai Simón","David Alaba","David Alaba","Pass (Dead)","Jude Bellingham","Shot","Volley"
3,"2023-08-27","Matchweek 3","Home","Willian José","Betis","Y",0.09,0.15,"Left Foot",13,"2","0-0","Unai Simón","","Ayoze Pérez","Pass (Live)","Marc Roca","Pass (Live)","Deflected"
4,"2023-08-27","Matchweek 3","Home","Isco","Betis","Y",0.09,0.39,"Right Foot",14,"10","1-0","Unai Simón","Aitor Ruibal","Aitor Ruibal","Pass (Live)","Guido Rodríguez","Pass (Live)",""
5,"2023-09-27","Matchweek 7","Home","Gastón Álvarez","Getafe","Y",0.15,0.46,"Head",7,"51","0-1","Unai Simón","Mason Greenwood","Mason Greenwood","Pass (Dead)","Nemanja Maksimović","Shot","Deflected"
6,"2023-09-27","Matchweek 7","Home","Juanmi Latasa","Getafe","N",0.17,0.44,"Head",8,"83","1-2","Unai Simón","Carmona","Carmona","Pass (Live)","Óscar Rodríguez Arnaiz","Pass (Live)",""
7,"2023-09-30","Matchweek 8","Away","Robin Le Normand","Real Sociedad","Y",0.2,0.54,"Right Foot",7,"30","0-0","Unai Simón","","Mikel Merino","Fouled","Aihen Muñoz","Pass (Live)","Volley"
8,"2023-09-30","Matchweek 8","Away","Takefusa Kubo","Real Sociedad","Y",0.17,0.44,"Left Foot",13,"48","1-0","Unai Simón","Umar Sadiq","Brais Méndez","Pass (Live)","Brais Méndez","Take-On",""
9,"2023-09-30","Matchweek 8","Away","Mikel Oyarzabal","Real Sociedad","N",0.81,0.86,"Right Foot",4,"66","2-0","Unai Simón","Martín Zubimendi","Mikel Oyarzabal","Take-On","Martín Zubimendi","Pass (Live)",""
10,"2023-10-22","Matchweek 10","Away","Marc Guiu","Barcelona","N",0.24,0.44,"Right Foot",16,"80","0-0","Unai Simón","João Félix","João Félix","Pass (Live)","Iñigo Martínez","Pass (Live)",""
11,"2023-10-29","Matchweek 11","Home","Francisco Perez","Valencia","Y",0.24,0.74,"Right Foot",17,"62","0-1","Unai Simón","Hugo Duro","Hugo Duro","Pass (Live)","Diego López","Pass (Live)",""
12,"2023-10-29","Matchweek 11","Home","Hugo Duro","Valencia","Y",0.77,0.95,"Right Foot",4,"68","1-1","Unai Simón","Francisco Perez","Francisco Perez","Pass (Live)","José Luis García Vayá","Pass (Live)",""
13,"2023-11-05","Matchweek 12","Away","Gerard Moreno","Villarreal","Y",0.05,0.39,"Left Foot",14,"86","0-3","Unai Simón","Étienne Capoue","Étienne Capoue","Pass (Live)","Alex Baena","Pass (Live)",""
14,"2023-11-05","Matchweek 12","Away","Alexander Sørloth","Villarreal","Y",0.14,0.79,"Head",9,"87","1-3","Unai Simón","Gerard Moreno","Gerard Moreno","Pass (Live)","Kiko Femenía","Pass (Dead)",""
15,"2023-11-10","Matchweek 13","Home","Iago Aspas","Celta Vigo","Y*",0.05,0.09,"Left Foot",25,"25","0-0","Unai Simón","Óscar Mingueza","Iago Aspas","Take-On","Óscar Mingueza","Pass (Live)",""
16,"2023-11-10","Matchweek 13","Home","Jonathan Bamba","Celta Vigo","Y",0.06,0.29,"Right Foot",22,"41","1-1","Unai Simón","","Jørgen Strand Larsen","Shot","","",""
17,"2023-11-10","Matchweek 13","Home","Jørgen Strand Larsen","Celta Vigo","Y",0.75,0.94,"Left Foot",6,"66","2-3","Unai Simón","Iago Aspas","Óscar Mingueza","Pass (Live)","Carl Starfelt","Pass (Live)",""
