"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2023-08-12","21:30","Matchweek 1","Sat","Home","L","0","2","Real Madrid","0","7","1","14.3","0.00","0.00","15.3","0","0","0","0.4","0.4","0.06","-0.4","-0.4","Match Report"
"2023-08-19","21:30","Matchweek 2","Sat","Away","W","2","0","Osasuna","2","8","2","25.0","0.25","1.00","16.0","1","0","0","1.5","1.5","0.20","+0.5","+0.5","Match Report"
"2023-08-27","21:30","Matchweek 3","Sun","Home","W","4","2","Betis","4","12","4","33.3","0.17","0.50","19.7","0","2","2","2.9","1.3","0.11","+1.1","+0.7","Match Report"
"2023-09-03","16:15","Matchweek 4","Sun","Away","D","0","0","Mallorca","0","11","3","27.3","0.00","0.00","16.6","0","0","0","0.6","0.6","0.06","-0.6","-0.6","Match Report"
"2023-09-16","14:00","Matchweek 5","Sat","Home","W","3","0","Cádiz","3","20","8","40.0","0.15","0.38","13.4","0","0","0","2.9","2.9","0.14","+0.1","+0.1","Match Report"
"2023-09-22","21:00","Matchweek 6","Fri","Away","W","2","0","Alavés","2","11","3","27.3","0.18","0.67","15.6","1","0","0","1.7","1.7","0.16","+0.3","+0.3","Match Report"
"2023-09-27","19:00","Matchweek 7","Wed","Home","D","2","2","Getafe","2","8","4","50.0","0.25","0.50","18.2","0","0","0","0.7","0.7","0.09","+1.3","+1.3","Match Report"
"2023-09-30","21:00","Matchweek 8","Sat","Away","L","0","3","Real Sociedad","0","18","3","16.7","0.00","0.00","14.9","0","0","0","1.8","1.8","0.10","-1.8","-1.8","Match Report"
"2023-10-06","21:00","Matchweek 9","Fri","Home","W","3","0","Almería","3","23","9","39.1","0.13","0.33","13.4","0","0","0","1.9","1.9","0.08","+1.1","+1.1","Match Report"
"2023-10-22","21:00","Matchweek 10","Sun","Away","L","0","1","Barcelona","0","10","3","30.0","0.00","0.00","17.1","0","0","0","0.4","0.4","0.04","-0.4","-0.4","Match Report"
"2023-10-29","18:30","Matchweek 11","Sun","Home","D","2","2","Valencia","2","12","7","58.3","0.17","0.29","15.5","0","0","0","1.9","1.9","0.15","+0.1","+0.1","Match Report"
"2023-11-05","18:30","Matchweek 12","Sun","Away","W","3","2","Villarreal","3","17","7","41.2","0.18","0.43","18.2","0","0","0","2.3","2.3","0.13","+0.7","+0.7","Match Report"
"2023-11-10","21:00","Matchweek 13","Fri","Home","W","4","3","Celta Vigo","4","20","11","55.0","0.15","0.27","13.2","0","1","1","4.6","3.8","0.20","-0.6","-0.8","Match Report"
"2023-11-27","21:00","Matchweek 14","Mon","Away","D","1","1","Girona","1","13","6","46.2","0.08","0.17","15.8","0","0","0","1.5","1.5","0.11","-0.5","-0.5","Match Report"
"2023-12-02","16:15","Matchweek 15","Sat","Home","W","4","0","Rayo Vallecano","3","9","4","44.4","0.33","0.75","14.0","0","0","0","1.3","1.3","0.15","+1.7","+1.7","Match Report"
"2023-12-11","21:00","Matchweek 16","Mon","Away","D","1","1","Granada","1","19","4","21.1","0.05","0.25","16.7","0","0","0","1.1","1.1","0.06","-0.1","-0.1","Match Report"
"2023-12-16","16:15","Matchweek 17","Sat","Home","W","2","0","Atlético Madrid","2","15","7","46.7","0.13","0.29","17.1","0","0","1","2.4","1.6","0.11","-0.4","+0.4","Match Report"
"2023-12-20","21:30","Matchweek 18","Wed","Home","W","1","0","Las Palmas","1","18","8","44.4","0.06","0.13","13.4","0","0","1","3.4","2.6","0.14","-2.4","-1.6","Match Report"
