"Fecha","Hora","Jornada","Día","Local.Visitante","Resultado","GF","GC","Rival","Goles Marcados","Disparos","Disparos a puerta","% DisparosPuerta","Goles/Disparo","Goles/DisparoPuerta","Distancia","FK","PK","PKatt","xG","xG - nopenalty","npxG/Sh","G-xG","np:G-xG","Informe"
"2021-08-14","19:30","Matchweek 1","Sat","Away","D","1","1","Levante","1","12","3","25.0","0.08","0.33","20.2","1","0","0","0.9","0.9","0.08","+0.1","+0.1","Match Report"
"2021-08-20","21:00","Matchweek 2","Fri","Home","D","1","1","Betis","1","16","7","43.8","0.06","0.14","19.1","1","0","0","1.1","1.1","0.07","-0.1","-0.1","Match Report"
"2021-08-29","19:30","Matchweek 3","Sun","Away","W","3","2","Osasuna","3","12","2","16.7","0.08","0.50","20.2","0","2","2","2.4","1.0","0.09","+0.6","0.0","Match Report"
"2021-09-12","18:30","Matchweek 4","Sun","Away","W","2","0","Real Sociedad","2","15","3","20.0","0.07","0.33","20.6","1","1","1","1.9","1.1","0.08","+0.1","-0.1","Match Report"
"2021-09-17","21:00","Matchweek 5","Fri","Home","L","1","2","Celta Vigo","1","14","4","28.6","0.07","0.25","18.2","0","0","0","1.0","1.0","0.07","0.0","0.0","Match Report"
"2021-09-23","22:00","Matchweek 6","Thu","Away","D","0","0","Barcelona","0","6","2","33.3","0.00","0.00","17.0","1","0","0","0.4","0.4","0.07","-0.4","-0.4","Match Report"
"2021-09-26","18:30","Matchweek 7","Sun","Home","W","3","1","Rayo Vallecano","3","13","6","46.2","0.23","0.50","13.5","0","0","0","1.3","1.3","0.10","+1.7","+1.7","Match Report"
"2021-10-02","18:30","Matchweek 8","Sat","Away","D","0","0","Valencia","0","16","4","25.0","0.00","0.00","19.7","0","0","0","1.1","1.1","0.07","-1.1","-1.1","Match Report"
"2021-10-18","21:00","Matchweek 9","Mon","Home","W","2","0","Espanyol","2","14","6","42.9","0.14","0.33","17.3","1","0","0","1.3","1.3","0.11","+0.7","+0.7","Match Report"
"2021-10-23","16:15","Matchweek 10","Sat","Away","W","2","0","Alavés","2","7","3","42.9","0.14","0.33","15.7","0","1","1","1.3","0.5","0.08","+0.7","+0.5","Match Report"
"2021-10-26","21:30","Matchweek 11","Tue","Home","D","3","3","Villarreal","3","14","5","35.7","0.21","0.60","13.0","0","0","0","1.7","1.7","0.12","+1.3","+1.3","Match Report"
"2021-10-31","14:00","Matchweek 12","Sun","Away","D","1","1","Mallorca","1","11","5","45.5","0.09","0.20","19.3","1","0","0","0.9","0.9","0.08","+0.1","+0.1","Match Report"
"2021-11-05","21:00","Matchweek 13","Fri","Home","L","0","1","Athletic Club","0","15","4","26.7","0.00","0.00","17.1","1","0","0","0.5","0.5","0.04","-0.5","-0.5","Match Report"
"2021-11-21","14:00","Matchweek 14","Sun","Home","W","4","0","Getafe","4","17","8","47.1","0.24","0.50","17.8","0","0","0","1.2","1.2","0.07","+2.8","+2.8","Match Report"
"2021-11-28","18:30","Matchweek 15","Sun","Away","W","4","1","Atlético Madrid","4","17","7","41.2","0.24","0.57","13.7","0","0","0","3.8","3.8","0.23","+0.2","+0.2","Match Report"
"2021-12-05","16:15","Matchweek 16","Sun","Home","W","3","1","Elche","3","7","2","28.6","0.29","1.00","15.2","0","1","1","2.4","1.6","0.23","+0.6","+0.4","Match Report"
"2021-12-13","21:00","Matchweek 17","Mon","Away","D","1","1","Granada","1","16","5","31.3","0.06","0.20","18.5","0","0","0","1.0","1.0","0.07","0.0","0.0","Match Report"
"2021-12-19","21:00","Matchweek 18","Sun","Home","D","0","0","Real Madrid","0","36","9","25.0","0.00","0.00","19.0","2","0","0","2.0","2.0","0.06","-2.0","-2.0","Match Report"
"2022-01-03","21:15","Matchweek 19","Mon","Away","W","1","0","Sevilla","1","14","3","21.4","0.07","0.33","18.3","1","0","0","0.9","0.9","0.07","+0.1","+0.1","Match Report"
