"Nombre","País","Posición","Edad","90s","Goles","Disparos","Disparos a puerta","% DisparosPuerta","Disparos cada 90min","DisparosPuerta cada 90min","Goles/Disparo","Goles/DisparoPuerta","Distancia","Tiros Libres","Penaltis","Penaltis Intentados","xG","xG - nopenalty","npxG/Disparo","G-xG","np:G-xG","Matches"
"Unai Simón","es ESP","GK","24","34.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Iker Muniain","es ESP","MF","28","30.9","4","38","17","44.7","1.23","0.55","0.08","0.18","19.3","6","1","3","5.8","3.4","0.09","-1.8","-0.4","Matches"
"Iñaki Williams","gh GHA","FW","27","30.9","8","94","35","37.2","3.05","1.13","0.07","0.20","14.0","0","1","1","14.1","13.3","0.14","-6.1","-6.3","Matches"
"Unai Vencedor Paris","es ESP","MF","20","26.5","0","20","2","10.0","0.76","0.08","0.00","0.00","21.0","0","0","0","0.9","0.9","0.05","-0.9","-0.9","Matches"
"Dani García","es ESP","MF","31","24.2","0","12","2","16.7","0.50","0.08","0.00","0.00","20.6","0","0","0","0.6","0.6","0.05","-0.6","-0.6","Matches"
"Iñigo Martínez","es ESP","DF","30","26.0","3","27","8","29.6","1.04","0.31","0.11","0.38","13.4","3","0","0","2.0","2.0","0.07","+1.0","+1.0","Matches"
"Álex Berenguer","es ESP","MF","26","24.1","3","45","14","31.1","1.87","0.58","0.07","0.21","18.0","1","0","1","5.2","4.5","0.10","-2.2","-1.5","Matches"
"Raúl García","es ESP","FW","35","20.0","6","43","12","27.9","2.15","0.60","0.14","0.50","17.0","0","0","1","6.1","5.3","0.12","-0.1","+0.7","Matches"
"Mikel Balenziaga","es ESP","DF","33","22.5","0","7","2","28.6","0.31","0.09","0.00","0.00","24.7","0","0","0","0.1","0.1","0.02","-0.1","-0.1","Matches"
"Daniel Vivian","es ESP","DF","22","22.1","2","17","8","47.1","0.77","0.36","0.12","0.25","12.6","0","0","0","1.3","1.3","0.07","+0.7","+0.7","Matches"
"Iñigo Lekue","es ESP","DF","28","21.4","0","7","1","14.3","0.33","0.05","0.00","0.00","25.7","0","0","0","0.1","0.1","0.02","-0.1","-0.1","Matches"
"Yeray Álvarez","es ESP","DF","26","20.7","0","7","0","0.0","0.34","0.00","0.00","","14.1","0","0","0","0.5","0.5","0.07","-0.5","-0.5","Matches"
"Óscar de Marcos","es ESP","DF","32","18.7","1","3","3","100.0","0.16","0.16","0.33","0.33","16.2","0","0","0","0.3","0.3","0.09","+0.7","+0.7","Matches"
"Mikel Vesga","es ESP","MF","28","15.1","2","14","4","28.6","0.93","0.27","0.14","0.50","17.9","0","0","0","1.0","1.0","0.07","+1.0","+1.0","Matches"
"Oihan Sancet","es ESP","FW","21","15.8","6","30","14","46.7","1.90","0.89","0.20","0.43","15.0","0","0","0","3.4","3.4","0.11","+2.6","+2.6","Matches"
"Nico Williams","es ESP","MF","19","14.9","0","33","10","30.3","2.22","0.67","0.00","0.00","15.5","0","0","0","2.6","2.6","0.08","-2.6","-2.6","Matches"
"Yuri Berchiche","es ESP","DF","31","11.3","1","8","3","37.5","0.71","0.27","0.13","0.33","20.2","1","0","0","0.4","0.4","0.05","+0.6","+0.6","Matches"
"Oier Zarraga","es ESP","MF","22","13.0","1","17","3","17.6","1.31","0.23","0.00","0.00","25.5","0","1","1","1.3","0.5","0.03","-0.3","-0.5","Matches"
"Unai Núñez","es ESP","DF","24","6.9","0","6","1","16.7","0.87","0.14","0.00","0.00","8.5","0","0","0","0.8","0.8","0.14","-0.8","-0.8","Matches"
"Julen Agirrezabala","es ESP","GK","20","4.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Asier Villalibre","es ESP","FW","23","6.1","2","19","6","31.6","3.12","0.99","0.11","0.33","12.3","0","0","0","2.4","2.4","0.13","-0.4","-0.4","Matches"
"Nicolás Serrano","es ESP","MF,FW","18","3.5","1","9","4","44.4","2.56","1.14","0.11","0.25","25.1","0","0","0","0.4","0.4","0.05","+0.6","+0.6","Matches"
"Alex Petxa","es ESP","DF,MF","24","4.6","0","2","1","50.0","0.44","0.22","0.00","0.00","18.0","0","0","0","0.1","0.1","0.07","-0.1","-0.1","Matches"
"Jon Morcillo","es ESP","MF,FW","22","0.6","0","1","0","0.0","1.67","0.00","0.00","","7.5","0","0","0","0.6","0.6","0.60","-0.6","-0.6","Matches"
"Ander Capa","es ESP","DF","29","0.0","0","1","0","0.0","22.50","0.00","0.00","","22.8","0","0","0","0.0","0.0","0.02","0.0","0.0","Matches"
"Peru Nolaskoain","es ESP","DF","22","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0","Matches"
"Squad Total","","","26.9","38.0","40","460","150","32.6","12.11","3.95","0.08","0.25","16.8","11","3","7","49.6","44.0","0.10","-9.6","-7.0",""
"Opponent Total","","","27.6","38.0","35","440","128","29.1","11.58","3.37","0.07","0.25","18.5","20","3","3","38.4","36.0","0.08","-3.4","-4.0",""
