RL;Fecha;Ronda;Sedes;Anotador;Adversario;Arranque;xG;PSxG;Parte del cuerpo;Distance;Minute;Marcador;Portero;Asistidor;EGG1;Tipo;EGG2;Tipo;Notas
▼;;;;;;;;;;;;;;;;;;;
1;25/05/2024;Semana 38 de partido;De visitante;Brian Ocampo;Almería;Sí;0.06;0.40;Pie derecho;24;30;0-0;Fernando;Álex Fernández;Brian Ocampo;Toma;Álex Fernández;Pase (vivo);
2;15/05/2024;Semana 36 de partido;De visitante;Sergi Guardiola;Sevilla;No;0.42;0.86;Pie izquierdo;12;90+6;0-0;Ørjan Nyland;Juanmi;Juanmi;Pase (vivo);Jeremías Ledesma;Pase (vivo);
3;12/05/2024;Semana 35 de partido;De local;Rubén Alcaraz;Getafe;Sí;0.79;0.99;Pie derecho;13;35;0-0;David Soria;;Chris Ramos;Obstrucción;Joseba Zaldúa;Pase (vivo);
4;28/04/2024;Semana 33 de partido;De local;Omar Mascarell (GC);Mallorca;Sí;;;;;59;;;;;;;;Gol en contra
5;20/04/2024;Semana 32 de partido;De visitante;Gonzalo Escalante;Girona;No;0.71;0.85;Pie derecho;3;81;0-3;Paulo Gazzaniga;Roger Martí;Roger Martí;Tiro;;;
6;29/03/2024;Semana 30 de partido;De local;Roberto Navarro;Granada;Sí;0.34;0.69;Pie derecho;15;51;0-0;Augusto Batalla;Rubén Alcaraz;Rubén Alcaraz;Pase (vivo);Álex Fernández;Pase (vivo);
7;09/03/2024;Semana 28 de partido;De local;Juanmi;Atlético Madrid;Sí;0.26;0.55;Pie derecho;14;64;1-0;Jan Oblak;Javi Hernández;Javi Hernández;Pase (vivo);Jeremías Ledesma;Pase (muerto);Voleibol
8;09/03/2024;Semana 28 de partido;De local;Juanmi;Atlético Madrid;Sí;0.67;0.93;Cabeza;4;24;0-0;Jan Oblak;Rubén Sobrino;Rubén Sobrino;Pase (vivo);Roberto Navarro;Pase (vivo);
9;02/03/2024;Semana 27 de partido;De visitante;Javi Hernández;Rayo Vallecano;Sí;0.16;0.68;Pie izquierdo;14;90+1;0-1;Stole Dimitrievski;Víctor Chust;Víctor Chust;Pase (vivo);Jorge Meré;Pase (vivo);
10;25/02/2024;Semana 26 de partido;De local;Darwin Machís;Celta Vigo;No;0.01;0.30;Pie derecho;25;90+10;01-feb;Vicente Guaita;;Javi Hernández;Tiro;;;
11;25/02/2024;Semana 26 de partido;De local;Juanmi;Celta Vigo;Sí;0.57;0.40;Pie derecho;7;66;0-2;Vicente Guaita;Sergi Guardiola;Sergi Guardiola;Pase (vivo);Javi Hernández;Pase (vivo);
12;14/01/2024;Semana 20 de partido;De local;Rubén Alcaraz;Valencia;Sí;0.79;0.98;Pie derecho;13;21;0-1;Giorgi Mamardashvili;;Rubén Alcaraz;Tiro;;;
13;17/12/2023;Semana 17 de partido;De visitante;Chris Ramos;Las Palmas;Sí;0.18;0.16;Cabeza;6;83;0-1;Álvaro Vallés;Roberto Navarro;Roberto Navarro;Pase (muerto);Maxi Gómez;Tiro;
14;10/12/2023;Semana 16 de partido;De local;Roger Martí;Osasuna;Sí;0.17;0.08;Cabeza;6;19;0-0;Sergio Herrera;Iván Alejo;Iván Alejo;Pase (vivo);;;
15;04/12/2023;Semana 15 de partido;De visitante;Chris Ramos;Celta Vigo;Sí;0.25;0.69;Cabeza;10;16;0-0;Vicente Guaita;Iván Alejo;Iván Alejo;Pase (vivo);Roger Martí;Pase (vivo);
16;29/11/2023;Semana 13 de partido;De visitante;Rubén Alcaraz;Mallorca;Sí;0.10;0.23;Pie derecho;28;12;0-0;Predrag Rajković;;Iván Alejo;Obstrucción;;;
17;28/10/2023;Semana 11 de partido;De local;Darwin Machís;Sevilla;Sí;0.12;0.07;Pie izquierdo;14;28;1-0;Ørjan Nyland;Roger Martí;Roger Martí;Pase (vivo);;;
18;28/10/2023;Semana 11 de partido;De local;Chris Ramos;Sevilla;Sí;0.43;0.84;Pie derecho;16;8;0-0;Ørjan Nyland;Roger Martí;Roger Martí;Pase (vivo);Lucas;Derribo;
19;01/10/2023;Semana 8 de partido;De visitante;Roger Martí;Atlético Madrid;Sí;0.07;0.02;Pie derecho;17;27;1-0;Jan Oblak;;;;;;
20;01/10/2023;Semana 8 de partido;De visitante;Lucas;Atlético Madrid;Sí;0.35;0.69;Pie izquierdo;5;12;0-0;Jan Oblak;Chris Ramos;Rubén Alcaraz;Pase (vivo);;;
21;24/09/2023;Semana 6 de partido;De visitante;Chris Ramos;Betis;Sí;0.06;0.69;Cabeza;11;41;0-0;Claudio Bravo;;Iván Alejo;Pase (vivo);Javi Hernández;Pase (vivo);
22;01/09/2023;Semana 4 de partido;De local;Darwin Machís;Villarreal;Sí;0.01;0.11;Pie derecho;25;50;02-ene;Filip Jørgensen;Gonzalo Escalante;Gonzalo Escalante;Pase (vivo);Darwin Machís;Pase (vivo);
23;01/09/2023;Semana 4 de partido;De local;Darwin Machís;Villarreal;Sí;0.79;0.99;Pie derecho;13;30;01-ene;Filip Jørgensen;;Chris Ramos;Obstrucción;Rubén Alcaraz;Pase (vivo);
24;01/09/2023;Semana 4 de partido;De local;Chris Ramos;Villarreal;Sí;0.64;0.82;Pie derecho;4;18;0-1;Filip Jørgensen;;Rubén Alcaraz;Tiro;;;
25;26/08/2023;Semana 3 de partido;De local;Luis Hernández;Almería;Sí;0.95;0.97;Pie izquierdo;2;59;0-0;Luís Maximiano;Gonzalo Escalante;Gonzalo Escalante;Pase (vivo);Javi Hernández;Pase (muerto);
26;14/08/2023;Semana 1 de partido;De local;Fede San Emeterio;Alavés;Sí;0.06;0.07;Cabeza;5;7;0-0;Antonio Sivera;Javi Hernández;Javi Hernández;Pase (muerto);Iván Alejo;Obstrucción;
