Sedes,Anotador,Adversario,Parte del cuerpo,Distance,Minute,Marcador
De visitante,Brian Ocampo,Almería,Pie derecho,24,30,0-0
De visitante,Sergi Guardiola,Sevilla,Pie izquierdo,12,90+6,0-0
De local,Rubén Alcaraz,Getafe,Pie derecho,13,35,0-0
De visitante,Gonzalo Escalante,Girona,Pie derecho,3,81,0-3
De local,Roberto Navarro,Granada,Pie derecho,15,51,0-0
De local,Juanmi,Atlético Madrid,Pie derecho,14,64,1-0
De local,Juanmi,Atlético Madrid,Cabeza,4,24,0-0
De visitante,Javi Hernández,Rayo Vallecano,Pie izquierdo,14,90+1,0-1
De local,Darwin Machís,Celta Vigo,Pie derecho,25,90+10,01-feb
De local,Juanmi,Celta Vigo,Pie derecho,7,66,0-2
De local,Rubén Alcaraz,Valencia,Pie derecho,13,21,0-1
De visitante,Chris Ramos,Las Palmas,Cabeza,6,83,0-1
De local,Roger Martí,Osasuna,Cabeza,6,19,0-0
De visitante,Chris Ramos,Celta Vigo,Cabeza,10,16,0-0
De visitante,Rubén Alcaraz,Mallorca,Pie derecho,28,12,0-0
De local,Darwin Machís,Sevilla,Pie izquierdo,14,28,1-0
De local,Chris Ramos,Sevilla,Pie derecho,16,8,0-0
De visitante,Roger Martí,Atlético Madrid,Pie derecho,17,27,1-0
De visitante,Lucas,Atlético Madrid,Pie izquierdo,5,12,0-0
De visitante,Chris Ramos,Betis,Cabeza,11,41,0-0
De local,Darwin Machís,Villarreal,Pie derecho,25,50,02-ene
De local,Darwin Machís,Villarreal,Pie derecho,13,30,01-ene
De local,Chris Ramos,Villarreal,Pie derecho,4,18,0-1
De local,Luis Hernández,Almería,Pie izquierdo,2,59,0-0
De local,Fede San Emeterio,Alavés,Cabeza,5,7,0-0
